timestamp,visible,in_flight
2026-07-02T13:12:38Z,0,0
2026-07-02T13:12:41Z,0,0
2026-07-02T13:12:44Z,0,0
2026-07-02T13:12:46Z,0,0
2026-07-02T13:12:48Z,0,0
2026-07-02T13:12:49Z,0,0
2026-07-02T13:12:54Z,0,0
2026-07-02T13:12:56Z,0,0
2026-07-02T13:12:57Z,0,0
2026-07-02T13:12:59Z,0,0
2026-07-02T13:13:01Z,142,212
2026-07-02T13:13:02Z,0,0
2026-07-02T13:13:04Z,314,212
2026-07-02T13:13:06Z,0,0
2026-07-02T13:13:08Z,804,232
2026-07-02T13:13:09Z,655,212
2026-07-02T13:13:11Z,0,0
2026-07-02T13:13:13Z,0,0
2026-07-02T13:13:14Z,0,1505
2026-07-02T13:13:16Z,804,232
2026-07-02T13:13:18Z,142,212
2026-07-02T13:13:19Z,0,1088
2026-07-02T13:13:21Z,0,1505
2026-07-02T13:13:23Z,0,1384
2026-07-02T13:13:24Z,0,1807
2026-07-02T13:13:26Z,0,1206
2026-07-02T13:13:28Z,0,1088
2026-07-02T13:13:29Z,0,1174
2026-07-02T13:13:31Z,0,1238
2026-07-02T13:13:32Z,0,1062
2026-07-02T13:13:34Z,0,1029
2026-07-02T13:13:36Z,0,1672
2026-07-02T13:13:37Z,0,1062
2026-07-02T13:13:39Z,0,995
2026-07-02T13:13:41Z,0,996
2026-07-02T13:13:43Z,0,961
2026-07-02T13:13:46Z,0,1029
2026-07-02T13:13:49Z,0,1003
2026-07-02T13:13:51Z,0,1074
2026-07-02T13:13:52Z,0,995
2026-07-02T13:13:54Z,0,955
2026-07-02T13:13:56Z,0,922
2026-07-02T13:13:57Z,0,1179
2026-07-02T13:13:59Z,0,1206
2026-07-02T13:14:01Z,0,1074
2026-07-02T13:14:02Z,0,955
2026-07-02T13:14:04Z,0,1121
2026-07-02T13:14:06Z,0,955
2026-07-02T13:14:08Z,0,1121
2026-07-02T13:14:09Z,1,991
2026-07-02T13:14:11Z,0,892
2026-07-02T13:14:13Z,0,1022
2026-07-02T13:14:14Z,0,1213
2026-07-02T13:14:16Z,0,994
2026-07-02T13:14:18Z,0,1055
2026-07-02T13:14:19Z,0,1007
2026-07-02T13:14:21Z,0,1007
2026-07-02T13:14:23Z,0,994
2026-07-02T13:14:25Z,0,1082
2026-07-02T13:14:26Z,0,1060
2026-07-02T13:14:28Z,0,1083
2026-07-02T13:14:31Z,0,906
2026-07-02T13:14:33Z,0,992
2026-07-02T13:14:34Z,0,1038
2026-07-02T13:14:36Z,0,1066
2026-07-02T13:14:38Z,0,1083
2026-07-02T13:14:39Z,0,906
2026-07-02T13:14:41Z,0,1007
2026-07-02T13:14:43Z,0,954
2026-07-02T13:14:44Z,0,918
2026-07-02T13:14:46Z,1,970
2026-07-02T13:14:49Z,0,958
2026-07-02T13:14:51Z,1,970
2026-07-02T13:14:53Z,0,869
2026-07-02T13:14:54Z,0,957
2026-07-02T13:14:56Z,0,919
2026-07-02T13:14:58Z,0,907
2026-07-02T13:15:00Z,0,869
2026-07-02T13:15:01Z,0,1011
2026-07-02T13:15:03Z,0,903
2026-07-02T13:15:05Z,0,469
2026-07-02T13:15:06Z,0,69
2026-07-02T13:15:08Z,0,369
2026-07-02T13:15:09Z,0,69
2026-07-02T13:15:11Z,0,650
2026-07-02T13:15:13Z,0,569
2026-07-02T13:15:15Z,0,1583
2026-07-02T13:15:16Z,0,69
2026-07-02T13:15:18Z,0,1583
2026-07-02T13:15:20Z,0,69
2026-07-02T13:15:22Z,0,650
2026-07-02T13:15:23Z,0,295
2026-07-02T13:15:25Z,1182,2579
2026-07-02T13:15:27Z,771,2509
2026-07-02T13:15:29Z,1070,2309
2026-07-02T13:15:30Z,2992,2239
2026-07-02T13:15:32Z,1391,2489
2026-07-02T13:15:34Z,987,1909
2026-07-02T13:15:35Z,2992,2239
2026-07-02T13:15:37Z,1182,2579
2026-07-02T13:15:39Z,4576,2017
2026-07-02T13:15:40Z,4072,2099
2026-07-02T13:15:42Z,3174,2319
2026-07-02T13:15:44Z,3073,2149
2026-07-02T13:15:46Z,4926,1727
2026-07-02T13:15:47Z,5075,1487
2026-07-02T13:15:49Z,4926,1727
2026-07-02T13:15:51Z,3702,2129
2026-07-02T13:15:52Z,2420,2389
2026-07-02T13:15:54Z,3936,1487
2026-07-02T13:15:56Z,4072,2099
2026-07-02T13:15:57Z,2226,2797
2026-07-02T13:15:59Z,4926,1727
2026-07-02T13:16:00Z,1396,3327
2026-07-02T13:16:02Z,4836,1817
2026-07-02T13:16:04Z,870,2033
2026-07-02T13:16:05Z,2226,2797
2026-07-02T13:16:07Z,5075,1487
2026-07-02T13:16:09Z,0,2503
2026-07-02T13:16:11Z,0,2303
2026-07-02T13:16:12Z,2766,2557
2026-07-02T13:16:14Z,0,2503
2026-07-02T13:16:16Z,1396,3327
2026-07-02T13:16:18Z,0,0
2026-07-02T13:16:19Z,0,2303
2026-07-02T13:16:21Z,0,0
2026-07-02T13:16:23Z,0,0
2026-07-02T13:16:24Z,0,0
2026-07-02T13:16:26Z,0,0
2026-07-02T13:16:28Z,3936,1487
2026-07-02T13:16:30Z,0,400
2026-07-02T13:16:31Z,0,0
2026-07-02T13:16:33Z,0,0
2026-07-02T13:16:35Z,0,0
2026-07-02T13:16:36Z,0,0
2026-07-02T13:16:38Z,0,0
2026-07-02T13:16:40Z,0,0
2026-07-02T13:16:41Z,0,0
2026-07-02T13:16:43Z,0,0
2026-07-02T13:16:45Z,870,2033
2026-07-02T13:16:46Z,0,0
2026-07-02T13:16:48Z,0,0
2026-07-02T13:16:50Z,0,0
2026-07-02T13:16:51Z,0,0
2026-07-02T13:16:53Z,0,0
2026-07-02T13:16:55Z,0,0
2026-07-02T13:16:56Z,0,0
2026-07-02T13:16:58Z,0,0
2026-07-02T13:17:00Z,0,0
2026-07-02T13:17:01Z,0,0
2026-07-02T13:17:03Z,0,0
2026-07-02T13:17:05Z,0,0
2026-07-02T13:17:06Z,0,0
2026-07-02T13:17:08Z,0,0
2026-07-02T13:17:10Z,0,0
2026-07-02T13:17:11Z,0,0
2026-07-02T13:17:13Z,0,0
2026-07-02T13:17:15Z,0,0
2026-07-02T13:17:17Z,0,0
2026-07-02T13:17:18Z,0,0
2026-07-02T13:17:20Z,0,0
2026-07-02T13:17:22Z,0,0
2026-07-02T13:17:23Z,0,0
2026-07-02T13:17:25Z,0,0
2026-07-02T13:17:27Z,0,0
2026-07-02T13:17:29Z,0,0
2026-07-02T13:17:30Z,0,0
2026-07-02T13:17:32Z,0,0
2026-07-02T13:17:33Z,0,0
2026-07-02T13:17:35Z,0,0
2026-07-02T13:17:36Z,0,0
2026-07-02T13:17:38Z,0,0
2026-07-02T13:17:40Z,0,0
2026-07-02T13:17:41Z,0,0
2026-07-02T13:17:43Z,0,0
2026-07-02T13:17:45Z,0,0
2026-07-02T13:17:46Z,0,0
2026-07-02T13:17:48Z,0,0
2026-07-02T13:17:50Z,0,0
2026-07-02T13:17:51Z,0,0
2026-07-02T13:17:53Z,0,0
2026-07-02T13:17:55Z,0,0
2026-07-02T13:17:56Z,0,0
2026-07-02T13:17:58Z,0,0
2026-07-02T13:18:00Z,0,0
2026-07-02T13:18:01Z,0,0
2026-07-02T13:18:03Z,0,0
2026-07-02T13:18:04Z,0,0
2026-07-02T13:18:06Z,0,0
2026-07-02T13:18:08Z,0,0
2026-07-02T13:18:09Z,0,0
2026-07-02T13:18:11Z,0,0
2026-07-02T13:18:13Z,0,0
2026-07-02T13:18:14Z,0,0
2026-07-02T13:18:16Z,0,0
2026-07-02T13:18:18Z,0,0
2026-07-02T13:18:19Z,0,0
2026-07-02T13:18:21Z,0,0
2026-07-02T13:18:23Z,0,0
2026-07-02T13:18:24Z,0,0
2026-07-02T13:18:26Z,0,0
2026-07-02T13:18:28Z,0,0
2026-07-02T13:18:29Z,0,0
2026-07-02T13:18:31Z,0,0
2026-07-02T13:18:33Z,0,0
2026-07-02T13:18:35Z,0,0
2026-07-02T13:18:37Z,0,0
2026-07-02T13:18:38Z,0,0
2026-07-02T13:18:40Z,0,0
2026-07-02T13:18:42Z,0,0
2026-07-02T13:18:44Z,0,0
2026-07-02T13:18:45Z,0,0
2026-07-02T13:18:47Z,0,0
2026-07-02T13:18:48Z,0,0
2026-07-02T13:18:50Z,0,0
2026-07-02T13:18:52Z,0,0
2026-07-02T13:18:53Z,0,0
2026-07-02T13:18:55Z,0,0
2026-07-02T13:18:57Z,0,0
2026-07-02T13:18:59Z,0,0
2026-07-02T13:19:01Z,0,0
2026-07-02T13:19:03Z,0,0
2026-07-02T13:19:04Z,0,0
2026-07-02T13:19:06Z,0,0
2026-07-02T13:19:08Z,0,0
2026-07-02T13:19:10Z,0,0
2026-07-02T13:19:11Z,0,0
2026-07-02T13:19:13Z,0,0
2026-07-02T13:19:14Z,0,0
2026-07-02T13:19:16Z,0,0
2026-07-02T13:19:18Z,0,0
2026-07-02T13:19:19Z,0,0
2026-07-02T13:19:21Z,0,0
2026-07-02T13:19:23Z,0,0
2026-07-02T13:19:24Z,0,0
2026-07-02T13:19:26Z,0,0
2026-07-02T13:19:28Z,0,0
2026-07-02T13:19:29Z,0,0
2026-07-02T13:19:31Z,0,0
2026-07-02T13:19:33Z,0,0
2026-07-02T13:19:34Z,0,0
2026-07-02T13:19:36Z,0,0
2026-07-02T13:19:38Z,0,0
2026-07-02T13:19:39Z,0,0
2026-07-02T13:19:41Z,0,0
2026-07-02T13:19:43Z,0,0
2026-07-02T13:19:44Z,0,0
2026-07-02T13:19:46Z,0,0
2026-07-02T13:19:48Z,0,0
2026-07-02T13:19:50Z,0,0
2026-07-02T13:19:51Z,0,0
2026-07-02T13:19:53Z,0,0
2026-07-02T13:19:54Z,0,0
2026-07-02T13:19:56Z,0,0
2026-07-02T13:19:58Z,0,0
2026-07-02T13:20:00Z,0,0
2026-07-02T13:20:02Z,0,0
2026-07-02T13:20:04Z,0,0
2026-07-02T13:20:05Z,0,0
2026-07-02T13:20:07Z,0,0
2026-07-02T13:20:09Z,0,0
2026-07-02T13:20:10Z,0,0
2026-07-02T13:20:12Z,0,0
2026-07-02T13:20:14Z,0,0
2026-07-02T13:20:15Z,0,0
2026-07-02T13:20:17Z,0,0
2026-07-02T13:20:19Z,0,0
2026-07-02T13:20:20Z,0,0
2026-07-02T13:20:22Z,0,0
2026-07-02T13:20:24Z,0,0
2026-07-02T13:20:25Z,0,0
2026-07-02T13:20:27Z,0,0
2026-07-02T13:20:29Z,0,0
2026-07-02T13:20:30Z,0,0
2026-07-02T13:20:32Z,0,0
2026-07-02T13:20:33Z,0,0
2026-07-02T13:20:35Z,0,0
2026-07-02T13:20:37Z,0,0
2026-07-02T13:20:38Z,0,0
2026-07-02T13:20:40Z,0,0
2026-07-02T13:20:41Z,0,0
2026-07-02T13:20:43Z,0,0
2026-07-02T13:20:45Z,0,0
2026-07-02T13:20:46Z,0,0
2026-07-02T13:20:48Z,0,0
2026-07-02T13:20:50Z,0,0
2026-07-02T13:20:51Z,0,0
2026-07-02T13:20:53Z,0,0
2026-07-02T13:20:55Z,0,0
2026-07-02T13:20:57Z,0,0
2026-07-02T13:20:58Z,0,0
2026-07-02T13:21:00Z,0,0
2026-07-02T13:21:01Z,0,0
2026-07-02T13:21:03Z,0,0
2026-07-02T13:21:05Z,0,0
2026-07-02T13:21:07Z,0,0
2026-07-02T13:21:08Z,0,0
2026-07-02T13:21:10Z,0,0
2026-07-02T13:21:11Z,0,0
2026-07-02T13:21:13Z,0,0
2026-07-02T13:21:15Z,0,0
2026-07-02T13:21:17Z,0,0
2026-07-02T13:21:19Z,0,0
2026-07-02T13:21:20Z,0,0
2026-07-02T13:21:22Z,0,0
2026-07-02T13:21:24Z,0,0
2026-07-02T13:21:25Z,0,0
2026-07-02T13:21:27Z,0,0
2026-07-02T13:21:29Z,0,0
2026-07-02T13:21:30Z,0,0
2026-07-02T13:21:32Z,0,0
2026-07-02T13:21:34Z,0,0
2026-07-02T13:21:36Z,0,0
2026-07-02T13:21:37Z,0,0
2026-07-02T13:21:39Z,0,0
2026-07-02T13:21:41Z,0,0
2026-07-02T13:21:42Z,0,0
2026-07-02T13:21:44Z,0,0
2026-07-02T13:21:45Z,0,0
2026-07-02T13:21:47Z,0,0
2026-07-02T13:21:49Z,0,0
2026-07-02T13:21:51Z,0,0
2026-07-02T13:21:52Z,0,0
